EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-747.5537237109606	1000.0	0.00092895905	8.246422	0.07785304907583346	0.15582184340229033	-0.07771655	447000
-735.3944885202691	1000.0	0.00096322136	8.244306	0.09635893609204516	0.1289496001781878	-0.073786296	450000
-766.943721702795	1000.0	0.0011365507	8.24219	0.11248733290343182	0.16972685291545253	-0.0717563	453000
-823.7811759446918	1000.0	0.0010377066	8.240122	0.038350482144786424	0.16622144269992312	-0.056772638	456000
-748.2823967386774	1000.0	0.0011128464	8.238108	-0.04671481617161288	0.15465431350569492	-0.049810108	459000
-756.5253319064435	1000.0	0.000998617	8.236037	0.012822043980317055	0.09533780821017479	-0.0869079	462000
-752.6134706979232	1000.0	0.0008904614	8.233786	0.06359240088687645	0.08756084374778006	-0.13543884	465000
-776.4023313130234	1000.0	0.00077740004	8.231637	-0.3551813342721284	0.057472426179096425	-0.038409222	468000
-753.013554849114	1000.0	0.0006087375	8.229514	0.02547197806110435	0.07628815413992462	-0.06686927	471000
-719.8582095011385	1000.0	0.0005631059	8.227556	-0.21618159006735227	0.123893738545513	-0.014003789	474000
-734.2598689005839	1000.0	0.00066473585	8.225547	0.08716005586236297	0.1799332893564054	-0.08603751	477000
-709.3657223487195	1000.0	0.00094170985	8.223559	0.1736831298835606	0.2593102078668471	-0.06121342	480000
-683.2432568384908	1000.0	0.0006806776	8.221603	0.16333169660839897	0.2159431221052719	-0.05640182	483000
-727.7448874060668	1000.0	0.0005926461	8.219566	0.07040064837936266	0.13076085994599707	-0.099314444	486000
-724.5248551213155	1000.0	0.00052115496	8.21759	0.055902942203604034	0.13142192868481772	-0.04622468	489000
-771.2388945588846	1000.0	0.000618472	8.215688	0.00477805873880488	0.09321607133231458	-0.042320132	492000
-675.5154688702709	1000.0	0.0005610537	8.213735	0.013194014806751753	0.13552282281388006	-0.079692125	495000
-668.2163933481296	1000.0	0.00060284993	8.21174	0.09605863004664372	0.12256253309592469	-0.08684412	498000
-660.3806781879483	1000.0	0.0007748375	8.209907	0.08182091758011678	0.17778313156882397	-0.013398211	501000
-707.5143997839485	1000.0	0.00051192613	8.208072	-0.1700846329308856	0.08835247070357621	-0.06131247	504000
-723.1143603947997	1000.0	0.00045789083	8.206225	0.0944223494605323	0.16442859142431598	-0.06750605	507000
-742.5802085957512	1000.0	0.00037777677	8.204335	0.106789129100617	0.15411458797535404	-0.07716147	510000
-626.6795591566419	1000.0	0.00034872437	8.202507	0.07312993199659379	0.15299415274725625	-0.042484473	513000
-697.1360018167978	1000.0	0.0005688991	8.200649	0.016753889530178312	0.1145823583289054	-0.06965418	516000
-708.2025130109572	1000.0	0.0005555864	8.198806	0.04701267428077338	0.17863070766495626	-0.061716564	519000
-715.085737866283	1000.0	0.00079161336	8.196907	0.02359993011979966	0.11968103223681525	-0.08155152	522000
-643.6195165111496	1000.0	0.0007727122	8.194845	0.16627103797181697	0.2885969771028314	-0.11841372	525000
